id,code,name,parent_id:id,type,user_type:id,reconcile
00000,00000,Company,,view,account.data_account_type_view,FALSE
BAL,BAL,Balance Sheet,00000,view,account.data_account_type_view,FALSE
PL,PL,Profit and Loss,00000,view,account.data_account_type_view,FALSE
100000,100000,Assets,BAL,view,account.data_account_type_asset,FALSE
110100,110100,Cash at Bank 1,100000,liquidity,account.data_account_type_bank,TRUE
110200,110200,Cash at Bank 2,100000,liquidity,account.data_account_type_bank,TRUE
110300,110300,Cash at Bank 3,100000,liquidity,account.data_account_type_bank,TRUE
111100,111100,Trade receivables,100000,receivable,account.data_account_type_receivable,TRUE
112100,112100,Accrued Income,100000,liquidity,account.data_account_type_bank,TRUE
112200,112200,Cash on Hand,100000,liquidity,account.data_account_type_bank,TRUE
112300,112300,Deposits,100000,other,account.data_account_type_asset,FALSE
112400,112400,Prepayments,100000,other,account.data_account_type_asset,FALSE
112500,112500,Stock on Hand,100000,other,account.data_account_type_asset,FALSE
112600,112600,Sundry debtors,100000,receivable,account.data_account_type_receivable,TRUE
112700,112700,Term debtors,100000,receivable,account.data_account_type_receivable,TRUE
112800,112800,Undeposited Funds,100000,other,account.data_account_type_asset,FALSE
112900,112900,Withholding tax paid,100000,other,account.data_account_type_asset,FALSE
120100,120100,Furniture and Fittings,100000,other,account.data_account_type_asset,FALSE
120200,120200,Furniture and Fittings:Accum. PU depreciation,100000,other,account.data_account_type_asset,FALSE
120300,120300,Office  Equipment,100000,other,account.data_account_type_asset,FALSE
120400,120400,Office Equipment: accumulated depreciation,100000,other,account.data_account_type_asset,FALSE
120500,120500,Office furniture,100000,other,account.data_account_type_asset,FALSE
120600,120600,Office furniture accumulated depreciation,100000,other,account.data_account_type_asset,FALSE
120700,120700,Property improvements,100000,other,account.data_account_type_asset,FALSE
120800,120800,Property improvements:Less accumulated depreciation,100000,other,account.data_account_type_asset,FALSE
200000,200000,Liabilities,BAL,view,account.data_account_type_liability,FALSE
210100,210100,Trade creditors,200000,payable,account.data_account_type_payable,TRUE
211100,211100,CPF Payable,200000,other,account.data_account_type_asset,FALSE
211200,211200,Bills payable,200000,other,account.data_account_type_asset,FALSE
211300,211300,Goods and Services Tax Payable,200000,other,account.data_account_type_asset,FALSE
211400,211400,Other creditors,200000,other,account.data_account_type_asset,FALSE
211500,211500,Payroll Liabilities,200000,other,account.data_account_type_asset,FALSE
211600,211600,Provision for dividend,200000,other,account.data_account_type_asset,FALSE
211700,211700,Sundry creditors,200000,other,account.data_account_type_asset,FALSE
211800,211800,Tax Payable,200000,other,account.data_account_type_asset,FALSE
